,,,0,771,ุ
0,740,ัว 3์/๑,,,
-20,765,ย 2์/๑,-22,765,ย 2์/๑
-20,764,ุ,-24,764,ุ
-20,762,ว 2์/๑,-20,761,ว 2์/๑
-9,756,Þว 3์/๑,-7,754,Þว 3์/๑
-6,751,Þว 2์/๑,-4,752,Þว 2์/๑
-1,753,ว 1์/๑,-2,754,ว 1์/๑
-1,759,ุ,-2,762,ุ
-4,765,Þ 3์/๑,-4,765,Þ 3์/๑
-8,765,Þ 1์/๑,-10,765,Þ 1์/๑
-9,765,ุ,-12,765,ุ
-9,762,Þ 3์/๑,-14,762,Þ 3์/๑
-15,759,ย 2์/๑,-17,759,ย 2์/๑
-13,753,ย 4์/๑,-11,751,ย 4์/๑
-9,751,Þ 3์/๑,-9,751,Þ 3์/๑
-11,750,ย 3์/๑,-10,751,ย 3์/๑
-8,753,ย 1์/๑,-10,751,ย 1์/๑
-4,742,Þ 2์/๑,-3,741,Þ 2์/๑
-1,735,ย 2์/๑,-2,735,ย 2์/๑
-1,741,Þย 3์/๑,-3,744,Þย 3์/๑
-4,749,Þ 1์/๑,-5,750,Þ 1์/๑
-6,753,ั 1์/๑,-5,753,ั 1์/๑
-7,753,ย 1์/๑,-11,753,ย 1์/๑
-11,753,Þย 1์/๑,-14,753,Þย 1์/๑
-12,756,ย 1์/๑,-11,758,ย 1์/๑
-6,756,ย 1์/๑,-5,754,ย 1์/๑
-3,756,ว 4์/๑,-2,754,ว 4์/๑
-1,759,ว 1์/๑,-9,760,ว 1์/๑
-6,760,ว 2์/๑,-9,761,ว 2์/๑
-8,765,ุ,-6,767,ุ
-10,773,ย 2์/๑,-15,773,ย 2์/๑
-14,774,Þว 3์/๑,-18,772,Þว 3์/๑
-12,762,Þว 3์/๑,-11,762,Þว 3์/๑
-3,760,Þว 1์/๑,-3,762,Þว 1์/๑
-5,763,Þว 1์/๑,-7,763,Þว 1์/๑
-4,758,Þว 4์/๑,-6,755,Þว 4์/๑
-6,746,Þว 4์/๑,-9,744,Þว 4์/๑
-13,744,ย 2์/๑,-13,741,ย 2์/๑
-10,741,Þว 2์/๑,-17,744,Þว 2์/๑
-11,750,ว 2์/๑,-16,753,ว 2์/๑
-14,751,Þว 3์/๑,-15,750,Þว 3์/๑
-13,746,Þย 2์/๑,-14,744,Þย 2์/๑
-8,735,ัว 2์/๑,-13,735,ัว 2์/๑
-8,740,ัว 4์/๑,-10,744,ัว 4์/๑
-7,750,ว 3์/๑,-8,746,ว 3์/๑
+1,734,Þว 4์/๑,+1,732,Þว 4์/๑
+3,739,Þว 3์/๑,+1,741,Þว 3์/๑
0,741,Þว 4์/๑,+1,738,Þว 4์/๑
0,728,Þว 3์/๑,+1,735,Þว 3์/๑
+2,744,ว 3์/๑,0,745,ว 3์/๑
+2,741,Þว 3์/๑,+1,740,Þว 3์/๑
+2,738,Þว 3์/๑,+1,740,Þว 3์/๑
+3,743,Þ 3์/๑,+2,742,Þ 3์/๑
+2,738,ย 3์/๑,+3,737,ย 3์/๑
+2,736,Þ 2์/๑,+1,738,Þ 2์/๑
+1,735,ย 1์/๑,0,735,ย 1์/๑
+1,744,ว 3์/๑,-1,748,ว 3์/๑
+1,750,Þว 5์/๑,-1,751,Þว 5์/๑
+2,747,Þว 4์/๑,0,744,Þว 4์/๑
+2,742,ว 2์/๑,0,746,ว 2์/๑
+1,753,ั 2์/๑,-3,754,ั 2์/๑
-2,752,ัย 3์/๑,-4,752,ัย 3์/๑
0,752,ั 2์/๑,-4,752,ั 2์/๑
0,751,Þย 2์/๑,-3,750,Þย 2์/๑
+3,746,Þ 2์/๑,-1,746,Þ 2์/๑
+4,744,ุ,-1,744,ุ
+4,741,ย 1์/๑,+1,741,ย 1์/๑
0,738,ย 1์/๑,-1,744,ย 1์/๑
+2,735,Þว 3์/๑,+1,737,Þว 3์/๑
0,737,ย 2์/๑,+1,735,ย 2์/๑
+4,741,Þย 1์/๑,+2,738,Þย 1์/๑
+4,746,Þว 4์/๑,+2,740,Þว 4์/๑
+5,741,Þว 4์/๑,+3,740,Þว 4์/๑
+2,738,ว 1์/๑,+1,742,ว 1์/๑
+3,748,Þ 1์/๑,+2,748,Þ 1์/๑
+4,745,Þย 2์/๑,+2,747,Þย 2์/๑
+10,744,ย 2์/๑,+5,742,ย 2์/๑
+15,738,ย 3์/๑,+10,741,ย 3์/๑
+12,746,Þว 2์/๑,+10,747,Þว 2์/๑
+8,756,ว 2์/๑,+5,758,ว 2์/๑
+9,759,ั 2์/๑,+5,759,ั 2์/๑
+7,754,ั 4์/๑,+5,753,ั 4์/๑
+10,753,ั 2์/๑,+5,753,ั 2์/๑
+11,752,ัย 4์/๑,+5,752,ัย 4์/๑
+10,749,ัย 3์/๑,+6,749,ัย 3์/๑
+15,748,ัย 4์/๑,+10,749,ัย 4์/๑
+17,746,ัย 2์/๑,+11,747,ัย 2์/๑
+17,747,ย 2์/๑,+14,748,ย 2์/๑
+20,753,Þว 2์/๑,+16,753,Þว 2์/๑
+20,755,Þ 3์/๑,+16,756,Þ 3์/๑
+19,755,Þ 3์/๑,+14,754,Þ 3์/๑
+20,753,Þ 3์/๑,+15,753,Þ 3์/๑
+21,752,Þ 2์/๑,+17,752,Þ 2์/๑
+22,750,Þ 3์/๑,+14,750,Þ 3์/๑
+21,747,Þว 2์/๑,+17,747,Þว 2์/๑
+20,747,ั 2์/๑,+13,748,ั 2์/๑
+9,743,ย 4์/๑,+5,740,ย 4์/๑
+8,747,ย 3์/๑,+3,752,ย 3์/๑
+8,758,ย 2์/๑,+5,759,ย 2์/๑
+11,759,Þย 3์/๑,+7,758,Þย 3์/๑
+12,756,Þย 4์/๑,+9,754,Þย 4์/๑
+12,753,Þย 2์/๑,+10,751,Þย 2์/๑
+15,748,ว 2์/๑,+10,748,ว 2์/๑
+19,746,Þ 2์/๑,+14,746,Þ 2์/๑
+18,742,ว 2์/๑,+13,742,ว 2์/๑
+9,746,ัว 3์/๑,+9,747,ัว 3์/๑
+4,742,ั 2์/๑,+5,744,ั 2์/๑
+13,750,Þว 3์/๑,+11,752,Þว 3์/๑
+16,752,Þว 3์/๑,+10,753,Þว 3์/๑
+14,755,ัว 4์/๑,+8,753,ัว 4์/๑
+15,752,ว 1์/๑,+9,752,ว 1์/๑
+17,752,ัว 2์/๑,+12,753,ัว 2์/๑
+20,754,ว 2์/๑,+15,755,ว 2์/๑
+21,752,ว 2์/๑,+16,750,ว 2์/๑
+14,751,ัย 4์/๑,+8,753,ัย 4์/๑
+13,754,ั 4์/๑,+9,754,ั 4์/๑
+15,755,ัย 2์/๑,+8,754,ัย 2์/๑
+17,752,ว 1์/๑,+11,751,ว 1์/๑
+19,746,ว 2์/๑,+14,744,ว 2์/๑
+20,742,ว 2์/๑,+16,743,ว 2์/๑
+20,741,ั 3์/๑,+15,743,ั 3์/๑
+19,746,ว 2์/๑,+12,748,ว 2์/๑
+20,751,ว 2์/๑,+14,752,ว 2์/๑
+24,748,ย 3์/๑,+19,748,ย 3์/๑
+24,745,ั 2์/๑,+15,745,ั 2์/๑
+21,744,Þว 3์/๑,+15,744,Þว 3์/๑
+12,738,ย 1์/๑,+11,736,ย 1์/๑
+10,741,Þว 4์/๑,+7,744,Þว 4์/๑
+13,749,ว 3์/๑,+11,750,ว 3์/๑
+21,749,Þว 3์/๑,+18,749,Þว 3์/๑
+22,751,ว 1์/๑,+18,752,ว 1์/๑
+27,752,Þว 3์/๑,+21,752,Þว 3์/๑
+29,752,Þว 2์/๑,+21,751,Þว 2์/๑
+29,750,Þว 1์/๑,+21,750,Þว 1์/๑
+29,748,Þว 1์/๑,+19,748,Þว 1์/๑
+18,751,ั 4์/๑,+17,752,ั 4์/๑
+20,748,ย 2์/๑,+22,745,ย 2์/๑
+25,744,ว 2์/๑,+20,743,ว 2์/๑
+22,739,ัว 2์/๑,+16,741,ัว 2์/๑
+17,744,ั 2์/๑,+15,744,ั 2์/๑
+10,742,ั 3์/๑,+9,741,ั 3์/๑
+11,738,ัว 2์/๑,+10,739,ัว 2์/๑
+19,740,ว 2์/๑,+13,741,ว 2์/๑
+12,740,ัย 1์/๑,+12,740,ัย 1์/๑
+16,742,ว 2์/๑,+11,744,ว 2์/๑
+13,747,ว 1์/๑,+11,748,ว 1์/๑
+19,747,ุ,+12,748,ุ
+19,746,ว 1์/๑,+16,746,ว 1์/๑
+16,739,Þว 3์/๑,+12,740,Þว 3์/๑
+14,743,ัว 3์/๑,+11,743,ัว 3์/๑
+12,744,ั 3์/๑,+8,746,ั 3์/๑
+9,749,ั 3์/๑,+7,749,ั 3์/๑
+14,748,Þว 4์/๑,+14,746,Þว 4์/๑
+21,741,Þว 4์/๑,+16,741,Þว 4์/๑
+20,746,Þว 2์/๑,+16,745,Þว 2์/๑
+28,747,ว 2์/๑,+23,746,ว 2์/๑
+27,747,ย 1์/๑,+22,745,ย 1์/๑
+26,745,ั 1์/๑,+22,744,ั 1์/๑
+27,744,ั 3์/๑,+23,744,ั 3์/๑
+30,745,Þย 1์/๑,+24,745,Þย 1์/๑
+25,746,ุ,+22,744,ุ
+27,744,ว 1์/๑,+23,744,ว 1์/๑
+27,745,ั 1์/๑,+22,746,ั 1์/๑
+23,747,ัย 3์/๑,+21,748,ัย 3์/๑
+26,747,ัย 3์/๑,+23,746,ัย 3์/๑
+31,742,ย 3์/๑,+26,741,ย 3์/๑
+25,741,Þว 2์/๑,+21,741,Þว 2์/๑
+22,740,ัย 2์/๑,+20,739,ัย 2์/๑
+17,738,ย 1์/๑,+17,738,ย 1์/๑
+20,740,ว 2์/๑,+15,742,ว 2์/๑
+20,745,ัว 3์/๑,+15,746,ัว 3์/๑
+23,747,ัว 2์/๑,+16,747,ัว 2์/๑
+21,744,Þว 2์/๑,+16,744,Þว 2์/๑
+21,739,ย 1์/๑,+19,738,ย 1์/๑
+19,738,ว 1์/๑,+17,738,ว 1์/๑
+21,738,ุ,+18,738,ุ
+21,738,ั 2์/๑,+19,738,ั 2์/๑
+23,739,ัย 2์/๑,+19,739,ัย 2์/๑
+24,738,ย 2์/๑,+18,738,ย 2์/๑
+27,741,Þย 1์/๑,+24,741,Þย 1์/๑
+28,743,Þ 3์/๑,+21,744,Þ 3์/๑
+24,746,ัย 1์/๑,+23,744,ัย 1์/๑
+26,743,ั 2์/๑,+22,743,ั 2์/๑
+26,744,Þ 3์/๑,+22,743,Þ 3์/๑
+28,744,Þว 2์/๑,+24,744,Þว 2์/๑
+21,742,Þ 2์/๑,+19,742,Þ 2์/๑
+23,744,ัว 2์/๑,+18,745,ัว 2์/๑
+27,748,ว 2์/๑,+23,748,ว 2์/๑
+30,748,ัว 2์/๑,+25,747,ัว 2์/๑
+32,746,ั 1์/๑,+24,745,ั 1์/๑
+32,746,ั 2์/๑,+27,747,ั 2์/๑
+31,748,ย 3์/๑,+25,747,ย 3์/๑
+31,747,ย 2์/๑,+22,746,ย 2์/๑
+31,744,ย 1์/๑,+28,744,ย 1์/๑
+25,747,Þ 1์/๑,+22,747,Þ 1์/๑
+28,748,ั 2์/๑,+24,748,ั 2์/๑
+32,749,ัย 1์/๑,+27,750,ัย 1์/๑
+31,749,ย 1์/๑,+24,748,ย 1์/๑
+27,746,ั 2์/๑,+22,746,ั 2์/๑
+26,745,ั 1์/๑,+22,745,ั 1์/๑
+22,744,ุ,+20,744,ุ
+15,741,ัย 3์/๑,+15,741,ัย 3์/๑
+24,744,ว 1์/๑,+16,744,ว 1์/๑
+21,747,Þว 4์/๑,+17,747,Þว 4์/๑
+23,749,ว 2์/๑,+16,750,ว 2์/๑
+23,750,Þว 2์/๑,+15,750,Þว 2์/๑
+24,747,Þว 1์/๑,+17,747,Þว 1์/๑
+25,747,ว 3์/๑,+19,747,ว 3์/๑
+23,742,ั 2์/๑,+20,742,ั 2์/๑
+24,744,ว 2์/๑,+21,741,ว 2์/๑
+21,738,Þว 3์/๑,+19,736,Þว 3์/๑
+17,736,ัว 1์/๑,+12,738,ัว 1์/๑
+13,743,Þว 3์/๑,+12,746,Þว 3์/๑
+20,748,ว 2์/๑,+15,748,ว 2์/๑
+23,749,ว 3์/๑,+20,748,ว 3์/๑
+30,749,Þว 3์/๑,+20,749,Þว 3์/๑
+31,750,ว 1์/๑,+22,749,ว 1์/๑
+33,751,ว 1์/๑,+22,751,ว 1์/๑
+33,751,Þว 1์/๑,+23,750,Þว 1์/๑
+33,750,ว 1์/๑,+23,750,ว 1์/๑
+35,750,ุ,+28,750,ุ
+32,752,ั 2์/๑,+26,751,ั 2์/๑
+32,752,ุ,+23,750,ุ
+33,747,Þ 1์/๑,+24,746,Þ 1์/๑
+35,744,Þ 1์/๑,+27,744,Þ 1์/๑
+23,747,ัว 2์/๑,,,
+27,746,Þ 1์/๑,+19,744,Þ 1์/๑
+25,747,ว 1์/๑,+18,747,ว 1์/๑
+27,750,ว 2์/๑,+21,750,ว 2์/๑
+28,750,Þย 2์/๑,+23,749,Þย 2์/๑
+30,746,Þว 3์/๑,,,
+22,740,Þว 5์/๑,+18,741,Þว 5์/๑
+19,744,ว 3์/๑,+15,746,ว 3์/๑
+25,744,Þว 3์/๑,+22,743,Þว 3์/๑
+24,740,Þ 4์/๑,+23,738,Þ 4์/๑
+18,733,Þว 5์/๑,+13,735,Þว 5์/๑
+13,741,ว 3์/๑,+9,745,ว 3์/๑
+15,749,ว 5์/๑,+13,748,ว 5์/๑
+14,751,ว 2์/๑,+15,751,ว 2์/๑
+20,753,ว 2์/๑,+16,753,ว 2์/๑
+26,753,ว 3์/๑,+17,752,ว 3์/๑
+29,753,Þว 2์/๑,+19,753,Þว 2์/๑
+30,753,Þ 2์/๑,+19,751,Þ 2์/๑
+29,748,Þว 3์/๑,+22,747,Þว 3์/๑
+29,744,Þว 2์/๑,+18,744,Þว 2์/๑
+18,747,ั 2์/๑,+10,748,ั 2์/๑
+16,747,ย 3์/๑,+13,745,ย 3์/๑
+13,741,ย 3์/๑,+13,739,ย 3์/๑
+15,741,Þว 1์/๑,+12,741,Þว 1์/๑
+15,742,Þ 1์/๑,+13,743,Þ 1์/๑
+11,734,ย 2์/๑,+11,735,ย 2์/๑
